trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.15, 'e': 0.27216399210211945}",25,15,13.077722905508482,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.15, 'e': 0.26944235218109824}",35,27,6.207517083262641,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.15, 'e': 0.26674792865928726}",30,13,13.478057625305913,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.15, 'e': 0.26408044937269437}",20,10,-23.189293490257153,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
123,False,"{'a': 0.15, 'e': 0.2614396448789674}",30,11,36.348754075906164,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.15, 'e': 0.25882524843017773}",30,0,4.472524043833754,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.15, 'e': 0.25623699594587596}",20,0,-36.20550128514479,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.15, 'e': 0.2536746259864172}",20,14,10.788757012239975,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.15, 'e': 0.25113787972655305}",25,9,16.629194058932303,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.15, 'e': 0.2486265009292875}",25,3,15.965548672905303,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.15, 'e': 0.24614023591999462}",20,10,-36.1506122085093,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.15, 'e': 0.24367883356079467}",25,8,-13.314674196451726,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.15, 'e': 0.24124204522518672}",25,0,-38.35594924054628,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
132,False,"{'a': 0.15, 'e': 0.23882962477293485}",25,0,23.25491626696757,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.15, 'e': 0.2364413285252055}",25,3,33.37405802533017,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.15, 'e': 0.23407691523995344}",20,15,-33.94204301221311,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.15, 'e': 0.2317361460875539}",30,14,6.486870405446363,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.15, 'e': 0.22941878462667836}",20,14,8.231002141311295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.15, 'e': 0.22712459678041158}",20,11,-23.95524322327257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.15, 'e': 0.22485335081260746}",25,1,-11.792796638334163,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.15, 'e': 0.2226048173044814}",25,18,14.253132704258977,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.15, 'e': 0.22037876913143659}",30,14,16.394103461904212,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.15, 'e': 0.2181749814401222}",35,20,29.294924253406414,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.15, 'e': 0.21599323162572098}",20,12,16.763282171867974,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.15, 'e': 0.21383329930946376}",25,0,32.878777878684716,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.15, 'e': 0.21169496631636914}",20,0,7.467376078977301,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.15, 'e': 0.20957801665320544}",25,14,21.19353429811968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
